year,region,anomaly_c
1850,Global,0.02874781090586609
1851,Global,-0.01888109310149133
1852,Global,0.11300980669227201
1853,Global,0.21970080744588572
1854,Global,0.03526416789813425
1855,Global,-0.1708382458288007
1856,Global,-0.13237509675617787
1857,Global,-0.18611073471038253
1858,Global,-0.10521378346114751
1859,Global,0.09457636190394503
1860,Global,-0.035634552073744885
1861,Global,-0.15791624209309063
1862,Global,-0.15983347240904955
1863,Global,-0.07974446653338063
1864,Global,-0.08741246019949855
1865,Global,-0.07778681032138479
1866,Global,0.038139215323877096
1867,Global,0.12557400847692257
1868,Global,0.1172190762086398
1869,Global,0.10777185499660291
1870,Global,0.13006677663438992
1871,Global,0.0721023160781229
1872,Global,0.08924982166170636
1873,Global,0.051663796452320554
1874,Global,0.15448504679106456
1875,Global,0.24760911903385008
1876,Global,-0.07683789679326836
1877,Global,0.032837845270179855
1878,Global,0.10584029941801099
1879,Global,0.09990399927803395
1880,Global,0.09252553957332132
1881,Global,0.0999534981806871
1882,Global,0.012432149324968833
1883,Global,0.08689708575118082
1884,Global,-0.10726585538079725
1885,Global,-0.24215685766100492
1886,Global,-0.306250856837206
1887,Global,-0.2156695805895712
1888,Global,-0.20808818552005626
1889,Global,-0.12585052728094226
1890,Global,-0.08659769957506569
1891,Global,-0.11519030795329144
1892,Global,-0.06320570815119808
1893,Global,-0.10508987953822313
1894,Global,0.06534626462437743
1895,Global,0.11890101638143236
1896,Global,0.0870314429105612
1897,Global,0.0060343882856983555
1898,Global,0.0668331715963717
1899,Global,0.18998839356689068
1900,Global,0.17424523210355503
1901,Global,-0.04838724700574204
1902,Global,-0.01797227399943324
1903,Global,0.08651415193039824
1904,Global,-0.05959715538846133
1905,Global,-0.06577168894715157
1906,Global,-0.06373370865060402
1907,Global,-0.26604621498069214
1908,Global,-0.21081455291467854
1909,Global,-0.06822058448850399
1910,Global,-0.13217404576573877
1911,Global,0.01088582939705951
1912,Global,-0.0015107054929632824
1913,Global,0.015782596253165693
1914,Global,0.10048337298355747
1915,Global,0.19701834698818743
1916,Global,0.16300742199006635
1917,Global,0.16167266964999172
1918,Global,0.28854120020148954
1919,Global,0.0434471566578889
1920,Global,0.20494145599417202
1921,Global,0.49901801636285015
1922,Global,0.2860548486625074
1923,Global,0.17001894843904353
1924,Global,0.1752141061309782
1925,Global,0.3030829662615613
1926,Global,0.20301481149708245
1927,Global,0.1796203818230957
1928,Global,0.2416231974415055
1929,Global,0.4346142561514963
1930,Global,0.29155306421339944
1931,Global,0.14889950174164568
1932,Global,0.2863849942770056
1933,Global,0.40489562483557506
1934,Global,0.4405327975981592
1935,Global,0.44388120343513826
1936,Global,0.5067796927294879
1937,Global,0.5730710448241929
1938,Global,0.5445091736961398
1939,Global,0.3591030172658449
1940,Global,0.24154940827735594
1941,Global,0.28202396357326975
1942,Global,0.28986189322481337
1943,Global,0.18712661618389959
1944,Global,0.1956691036476652
1945,Global,0.21057009717689645
1946,Global,0.23513232358475022
1947,Global,0.3309092913144678
1948,Global,0.4443150443465562
1949,Global,0.47761994680343633
1950,Global,0.3728735426004164
1951,Global,0.22921587619700112
1952,Global,0.09052691016152004
1953,Global,0.2876534872057146
1954,Global,0.172086107263965
1955,Global,0.2676733210084521
1956,Global,0.20471928329540034
1957,Global,0.32843206376094614
1958,Global,0.24628071039560773
1959,Global,0.09391820868455447
1960,Global,0.1752361606355617
1961,Global,0.3017798001395047
1962,Global,0.3531083775016981
1963,Global,0.1957257207809402
1964,Global,0.0012197657577583954
1965,Global,0.11151858375239954
1966,Global,0.1088768795537689
1967,Global,0.03822485972745504
1968,Global,0.10853063715104483
1969,Global,0.23218560761432983
1970,Global,0.20282363115893176
1971,Global,0.26170994937099223
1972,Global,0.2371012105043544
1973,Global,0.17540593030647855
1974,Global,0.08736286722172437
1975,Global,-0.11366667942076347
1976,Global,-0.019699918321069987
1977,Global,0.04333108181664436
1978,Global,-0.12723593886218154
1979,Global,0.0491276341961715
1980,Global,0.01763541109661837
1981,Global,0.1889467046996316
1982,Global,0.23915109988712402
1983,Global,0.23910691305916743
1984,Global,0.31373997576625356
1985,Global,0.45663970176722657
1986,Global,0.5568565290409904
1987,Global,0.5282117270632831
1988,Global,0.6572511222169748
1989,Global,0.6084876032409365
1990,Global,0.52326158777635
1991,Global,0.3426986692872944
1992,Global,0.3574826273768874
1993,Global,0.5660321529069492
1994,Global,0.7802679377691657
1995,Global,0.6724993582224634
1996,Global,0.6501542993477809
1997,Global,0.7486234828391911
1998,Global,0.7984446345636496
1999,Global,0.8118947953761193
2000,Global,0.8812544527623167
2001,Global,0.9985385599757954
2002,Global,0.9371415240602712
2003,Global,0.938777821954222
2004,Global,1.1614543686187524
2005,Global,1.219471703658277
2006,Global,0.969338283371286
2007,Global,1.1992049314826225
2008,Global,1.198170994238911
2009,Global,0.8593925314942563
2010,Global,1.0009795985575618
2011,Global,1.1236324003620304
2012,Global,1.414008221452825
2013,Global,1.44421938575109
2014,Global,1.2182059005917036
1850,Northern Hemisphere,0.062482214759828736
1851,Northern Hemisphere,0.0885405680808855
1852,Northern Hemisphere,0.17176508118941491
1853,Northern Hemisphere,0.18449302861454164
1854,Northern Hemisphere,-0.029063155658347384
1855,Northern Hemisphere,-0.2761248747231395
1856,Northern Hemisphere,-0.16478499469261187
1857,Northern Hemisphere,-0.2641282530278506
1858,Northern Hemisphere,-0.12859353131777418
1859,Northern Hemisphere,0.0664952053695469
1860,Northern Hemisphere,-0.06519165171076402
1861,Northern Hemisphere,-0.1169429514512963
1862,Northern Hemisphere,-0.2524245528266711
1863,Northern Hemisphere,-0.13707028665582222
1864,Northern Hemisphere,-0.16464104296757576
1865,Northern Hemisphere,-0.19192814819619208
1866,Northern Hemisphere,0.02391925415197349
1867,Northern Hemisphere,0.10890611000641748
1868,Northern Hemisphere,0.17002991985687466
1869,Northern Hemisphere,0.09082090512216645
1870,Northern Hemisphere,0.159762288412038
1871,Northern Hemisphere,0.07015222287570211
1872,Northern Hemisphere,0.08423560209334724
1873,Northern Hemisphere,0.15807505158251267
1874,Northern Hemisphere,0.21763310295371596
1875,Northern Hemisphere,0.23969255717374338
1876,Northern Hemisphere,-0.04930766503798267
1877,Northern Hemisphere,0.14305447209594568
1878,Northern Hemisphere,0.17710615856773693
1879,Northern Hemisphere,0.059912019023858676
1880,Northern Hemisphere,0.11871259118905719
1881,Northern Hemisphere,0.17871058896234437
1882,Northern Hemisphere,0.09345663523922632
1883,Northern Hemisphere,0.11809471288215256
1884,Northern Hemisphere,-0.19711447835788576
1885,Northern Hemisphere,-0.22432857603846834
1886,Northern Hemisphere,-0.31031468335317314
1887,Northern Hemisphere,-0.28354144212198484
1888,Northern Hemisphere,-0.2605664301345012
1889,Northern Hemisphere,-0.1889223712452459
1890,Northern Hemisphere,-0.1770752968085425
1891,Northern Hemisphere,-0.18544097495330014
1892,Northern Hemisphere,-0.03170684997916773
1893,Northern Hemisphere,-0.11705039576381537
1894,Northern Hemisphere,0.02803523766205096
1895,Northern Hemisphere,0.21338866965553827
1896,Northern Hemisphere,0.12582418797442507
1897,Northern Hemisphere,0.025347288826193193
1898,Northern Hemisphere,0.13035230951505739
1899,Northern Hemisphere,0.3246205407226217
1900,Northern Hemisphere,0.1826440824633231
1901,Northern Hemisphere,-0.05947173024827279
1902,Northern Hemisphere,0.03353264248970511
1903,Northern Hemisphere,-0.04142467215815415
1904,Northern Hemisphere,-0.2835203635710233
1905,Northern Hemisphere,-0.16075764556098626
1906,Northern Hemisphere,-0.05645621615104979
1907,Northern Hemisphere,-0.34551177835357016
1908,Northern Hemisphere,-0.3151938243041137
1909,Northern Hemisphere,-0.19985209690500838
1910,Northern Hemisphere,-0.2813453629241298
1911,Northern Hemisphere,0.0005009780007920739
1912,Northern Hemisphere,-0.10811414042493439
1913,Northern Hemisphere,-0.1110098694917756
1914,Northern Hemisphere,0.15696259203173568
1915,Northern Hemisphere,0.18307581335763778
1916,Northern Hemisphere,0.1724544153741352
1917,Northern Hemisphere,0.18713891354267176
1918,Northern Hemisphere,0.3106481523106712
1919,Northern Hemisphere,-0.05961283904171388
1920,Northern Hemisphere,0.2344771529548506
1921,Northern Hemisphere,0.5371968273890833
1922,Northern Hemisphere,0.3778049466960489
1923,Northern Hemisphere,0.3130818458876181
1924,Northern Hemisphere,0.2409250561751417
1925,Northern Hemisphere,0.3496665883741379
1926,Northern Hemisphere,0.2614090743069859
1927,Northern Hemisphere,0.27419827916092565
1928,Northern Hemisphere,0.28338523665622795
1929,Northern Hemisphere,0.43209163438912057
1930,Northern Hemisphere,0.32728918444543176
1931,Northern Hemisphere,0.22804166506144874
1932,Northern Hemisphere,0.3523143989234505
1933,Northern Hemisphere,0.5052385957898036
1934,Northern Hemisphere,0.6159818128964947
1935,Northern Hemisphere,0.46139537663126085
1936,Northern Hemisphere,0.6669627989495659
1937,Northern Hemisphere,0.6495648522325048
1938,Northern Hemisphere,0.6463302576985459
1939,Northern Hemisphere,0.49842539281530485
1940,Northern Hemisphere,0.2514016749176431
1941,Northern Hemisphere,0.2808803507463242
1942,Northern Hemisphere,0.28801623298856605
1943,Northern Hemisphere,0.10854183137105444
1944,Northern Hemisphere,0.13918381835473426
1945,Northern Hemisphere,0.19613507157327703
1946,Northern Hemisphere,0.09697786671130082
1947,Northern Hemisphere,0.21713423187441272
1948,Northern Hemisphere,0.34791552665822323
1949,Northern Hemisphere,0.4993669139515582
1950,Northern Hemisphere,0.43703959664514613
1951,Northern Hemisphere,0.24297859997935056
1952,Northern Hemisphere,0.041401268551192416
1953,Northern Hemisphere,0.22476118117057275
1954,Northern Hemisphere,0.07884665118690393
1955,Northern Hemisphere,0.28640614635213346
1956,Northern Hemisphere,0.009730440822199427
1957,Northern Hemisphere,0.1789940678479205
1958,Northern Hemisphere,0.22255039586349668
1959,Northern Hemisphere,-0.07593331520685709
1960,Northern Hemisphere,0.18671757696173152
1961,Northern Hemisphere,0.19990663480271031
1962,Northern Hemisphere,0.20551513919393294
1963,Northern Hemisphere,0.11414741157240904
1964,Northern Hemisphere,-0.14826581604001987
1965,Northern Hemisphere,-0.09594840449685726
1966,Northern Hemisphere,-0.09390404292186538
1967,Northern Hemisphere,-0.15791386312034383
1968,Northern Hemisphere,-0.09947849921867125
1969,Northern Hemisphere,0.13064912875971046
1970,Northern Hemisphere,0.03717156443567937
1971,Northern Hemisphere,0.203792242412268
1972,Northern Hemisphere,0.10678129359178357
1973,Northern Hemisphere,0.10342461608077436
1974,Northern Hemisphere,-0.06667628151012295
1975,Northern Hemisphere,-0.32819341788608725
1976,Northern Hemisphere,-0.28335026394359986
1977,Northern Hemisphere,-0.199419261780438
1978,Northern Hemisphere,-0.4329212063282011
1979,Northern Hemisphere,-0.08595241701056544
1980,Northern Hemisphere,-0.25651708633115966
1981,Northern Hemisphere,-0.04654373019817015
1982,Northern Hemisphere,0.02886963807388021
1983,Northern Hemisphere,-0.18369643103765654
1984,Northern Hemisphere,0.12405444582325309
1985,Northern Hemisphere,0.28537197593342434
1986,Northern Hemisphere,0.4537254043296759
1987,Northern Hemisphere,0.4868466256917934
1988,Northern Hemisphere,0.5813381102762261
1989,Northern Hemisphere,0.4961864273459877
1990,Northern Hemisphere,0.39491639370003107
1991,Northern Hemisphere,0.11879025260226861
1992,Northern Hemisphere,0.054165152801113337
1993,Northern Hemisphere,0.3950133132938909
1994,Northern Hemisphere,0.6753535144611842
1995,Northern Hemisphere,0.5063623597934193
1996,Northern Hemisphere,0.6437600945167983
1997,Northern Hemisphere,0.7500477350840971
1998,Northern Hemisphere,0.7277131936799268
1999,Northern Hemisphere,0.8344531060518694
2000,Northern Hemisphere,0.8144074822482903
2001,Northern Hemisphere,0.990195793833383
2002,Northern Hemisphere,0.970811639330444
2003,Northern Hemisphere,0.9959421851892873
2004,Northern Hemisphere,1.2245237736579213
2005,Northern Hemisphere,1.2712250075802665
2006,Northern Hemisphere,1.0497635842731956
2007,Northern Hemisphere,1.325494819427412
2008,Northern Hemisphere,1.231045096889435
2009,Northern Hemisphere,0.881876322064274
2010,Northern Hemisphere,1.0744118848801012
2011,Northern Hemisphere,1.257867172055164
2012,Northern Hemisphere,1.5339482924088728
2013,Northern Hemisphere,1.4777702014967886
2014,Northern Hemisphere,1.2885495688226882
1850,Southern Hemisphere,-0.00498659294810011
1851,Southern Hemisphere,-0.12630275428386106
1852,Southern Hemisphere,0.054254532195121996
1853,Southern Hemisphere,0.2549085862772298
1854,Southern Hemisphere,0.09959149145462298
1855,Southern Hemisphere,-0.06555161693445832
1856,Southern Hemisphere,-0.09996519881973853
1857,Southern Hemisphere,-0.10809321639291092
1858,Southern Hemisphere,-0.08183403560452085
1859,Southern Hemisphere,0.1226575184383325
1860,Southern Hemisphere,-0.006077452436720421
1861,Southern Hemisphere,-0.19888953273488852
1862,Southern Hemisphere,-0.06724239199143334
1863,Southern Hemisphere,-0.022418646410953258
1864,Southern Hemisphere,-0.010183877431416022
1865,Southern Hemisphere,0.03635452755342783
1866,Southern Hemisphere,0.05235917649577715
1867,Southern Hemisphere,0.1422419069474241
1868,Southern Hemisphere,0.06440823256040318
1869,Southern Hemisphere,0.12472280487103582
1870,Southern Hemisphere,0.10037126485673298
1871,Southern Hemisphere,0.07405240928054013
1872,Southern Hemisphere,0.09426404123006016
1873,Southern Hemisphere,-0.05474745867787334
1874,Southern Hemisphere,0.09133699062841139
1875,Southern Hemisphere,0.25552568089395145
1876,Southern Hemisphere,-0.10436812854855759
1877,Southern Hemisphere,-0.07737878155558953
